,pokemonId,days,latitude,longitude,temperature,windSpeed,population_density,windBearing,seconds,date
0,1.0,2016-09-02,38.235947374999995,-83.20796750000001,24.8375,6.694999999999999,2123.95296625,68.625,22:48:58,2016-09-02T22:48:58
1,1.0,2016-09-03,37.0862851868132,-91.29599529670332,21.806593406593404,6.8753846153846165,1075.1038343956045,126.24175824175825,11:23:22,2016-09-03T11:23:22
2,1.0,2016-09-04,36.19260545882353,-86.57496612941176,23.376470588235303,5.90364705882353,1117.3428937411757,137.61176470588236,10:43:34,2016-09-04T10:43:34
3,1.0,2016-09-05,36.04900432231404,-88.6115229586777,24.24132231404959,5.80330578512397,1248.6958382727264,158.28925619834712,12:21:43,2016-09-05T12:21:43
4,1.0,2016-09-06,34.77683475886526,-89.78205042553189,26.431205673758875,6.748085106382978,989.1102141063827,188.12765957446808,12:53:52,2016-09-06T12:53:52
5,1.0,2016-09-07,36.3105596547619,-91.42457574999999,24.672619047619058,6.053452380952382,1338.1418137261899,192.95238095238096,7:02:19,2016-09-07T7:02:19
6,1.0,2016-09-08,36.536135818181826,-96.04923863636364,25.018181818181816,6.247272727272727,297.4395124545454,189.8181818181818,1:42:34,2016-09-08T1:42:34
7,2.0,2016-09-03,35.811575399999995,-84.440963,25.04,8.234,921.8592919999999,138.6,16:54:44,2016-09-03T16:54:44
8,2.0,2016-09-04,35.389241,-94.939462,22.9,5.0125,871.7697250000001,134.5,16:01:49,2016-09-04T16:01:49
9,2.0,2016-09-05,34.86078428571428,-85.2003472857143,25.18571428571429,5.9607142857142845,1128.0780252142858,196.64285714285714,11:32:08,2016-09-05T11:32:08
10,2.0,2016-09-06,33.73040387500001,-90.885432875,26.4,5.471250000000001,935.4875010625,175.9375,16:52:47,2016-09-06T16:52:47
11,2.0,2016-09-07,36.80834733333333,-84.66177033333334,25.200000000000003,6.598333333333334,690.9215298333334,234.33333333333334,3:30:00,2016-09-07T3:30:00
12,2.0,2016-09-08,32.942937,-97.151882,30.9,9.96,458.58234,160.0,1:02:45,2016-09-08T1:02:45
